system,chain,state,operation,expected,actual,ok,tx_or_error
baseline,chain-a,PENDING_OUT,transferFrom,success,success,true,0x7f7bd42692581a236bc586acfdd867c252e4b20ef4640c4e3b2e81418d090946
baseline,chain-a,PENDING_OUT,safeTransferFrom,success,success,true,0xe2bb75a810191d1ae090f280479798c777f559298a8b9455fee605275b8f0b83
baseline,chain-a,PENDING_OUT,approve,success,success,true,0x2e8d7f08fff83434b10d45180d93727258589bc32f64d5761480bd9a29f46c31
baseline,chain-a,PENDING_OUT,setApprovalForAll,success,success,true,0x1ef4068d6b6b0fca0526cbcaebca2d027d04f30fef6c5d2918dbbd7be361af0f
baseline,chain-a,PENDING_OUT,directList,success,success,true,0x3a32706a9a90b19e0ee90e37cd116c4fcc83e7cbc5f9651ed978c4d2ac18f149
baseline,chain-a,PENDING_OUT,marketplaceList,success,success,true,0x48cd55fd491733eae827076134fcf935bac5997328cf8028d697939f6000cc54
proposal,chain-a,PENDING_OUT,transferFrom,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000c90000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000c90000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(201; 1)
proposal,chain-a,PENDING_OUT,safeTransferFrom,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000ca0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000ca0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(202; 1)
proposal,chain-a,PENDING_OUT,approve,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000cb0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000cb0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(203; 1)
proposal,chain-a,PENDING_OUT,setApprovalForAll,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x7f9baec5: 000000000000000000000000f39fd6e51aad88f6f4ce6ab8827279cfffb92266; data: "0x7f9baec5000000000000000000000000f39fd6e51aad88f6f4ce6ab8827279cfffb92266": OperatorApprovalWhileOwnerHasPendingTokens(0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266)
proposal,chain-a,PENDING_OUT,directList,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000cd0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000cd0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(205; 1)
proposal,chain-a,PENDING_OUT,marketplaceList,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x7b71c2de; data: "0x7b71c2de": ListingRejectedByTokenState
baseline,chain-b,FINALIZED,destinationTransfer,success,success,true,0x5b26045a6fbcdae344e5eae70887f44b2ae9e1787849e12d1be6ea66dfdd6998
proposal,chain-b,FINALIZED,destinationTransfer,success,success,true,0x0513f8d4e36a364789c6a7eaab0f3b0acccbdf732119a9adc637bd3bc9ef9442
proposal,chain-b,FINALIZED,replayFinalize,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x73235a22: 00000000000000000000000000000000000000000000000000000000000007d1; data: "0x73235a2200000000000000000000000000000000000000000000000000000000000007d1": MessageAlreadyFinalized(0x00000000000000000000000000000000000000000000000000000000000007d1)
